Year,Events,Tms,#Bat,BatAge,G,PA,AB,R,R/G,H,1B,1B/H+BB+HBP,2B,2B/H+BB+HBP,3B,3B/H+BB+HBP,HR,HR/H+BB+HBP,RBI,SB,CS,BB,BB/H+BB+HBP,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,HBP/H+BB+HBP,SH,SF,IBB
1920,Ruth,16,495,28.1,2468,94710,84179,10761,4.36,23275,17771,0.580,3609,0.118,1265,0.041,630,0.021,9345,1720,1563,6820,0.222,7247,0.276,0.335,0.372,0.707,31304,,561,0.018,3042,,
1921,clean new balls,16,492,28.2,2458,95661,85172,11928,4.85,24782,18500,0.575,3981,0.124,1364,0.042,937,0.029,10709,1487,1317,6847,0.213,6959,0.291,0.348,0.403,0.75,34302,,551,0.017,2986,,
1922,clean new balls,16,497,28.6,2476,96215,85346,12057,4.87,24613,18366,0.566,3944,0.121,1248,0.038,1055,0.032,10808,1451,1165,7253,0.223,6950,0.288,0.348,0.401,0.749,34218,,598,0.018,2958,,
1923,clean new balls,16,513,28.3,2466,96255,85232,11871,4.81,24218,18174,0.561,3922,0.121,1142,0.035,980,0.030,10664,1567,1258,7563,0.234,7021,0.284,0.347,0.391,0.738,33364,,605,0.019,2733,,
1924,clean new balls,16,529,28.6,2462,95394,84670,11718,4.76,24271,18119,0.563,4081,0.127,1175,0.037,896,0.028,10602,1501,1247,7364,0.229,6643,0.287,0.348,0.394,0.742,33390,,553,0.017,2704,,
1925,clean new balls,16,526,28.6,2456,96282,85432,12595,5.13,24914,18237,0.550,4337,0.131,1171,0.035,1169,0.035,11424,1388,1103,7744,0.234,6665,0.292,0.354,0.411,0.765,35100,,495,0.015,2555,,
1926,clean new balls,16,502,28.6,2468,95183,83762,11443,4.64,23505,17343,0.547,4142,0.131,1157,0.037,863,0.027,10464,1275,500,7703,0.243,6777,0.281,0.345,0.389,0.733,32550,,484,0.015,3200,,
1927,clean new balls,16,512,28.9,2472,95602,84461,11746,4.75,23960,17740,0.556,4148,0.130,1150,0.036,922,0.029,10757,1437,511,7447,0.234,6889,0.284,0.345,0.393,0.738,33174,,480,0.015,3183,,
1928,clean new balls,16,505,28.4,2462,95643,84480,11650,4.73,23736,17282,0.542,4223,0.133,1138,0.036,1093,0.034,10746,1268,484,7668,0.241,7099,0.281,0.344,0.397,0.741,33514,,454,0.014,2985,,
1929,clean new balls,16,510,28.4,2458,96361,85210,12748,5.19,24642,17645,0.534,4482,0.136,1166,0.035,1349,0.041,11793,1334,509,7992,0.242,6982,0.289,0.353,0.417,0.77,35503,,407,0.012,2713,,
1930,clean new balls,16,493,28.2,2468,97262,86571,13695,5.55,25597,17994,0.535,4756,0.141,1282,0.038,1565,0.046,12742,1080,423,7654,0.227,7934,0.296,0.356,0.434,0.79,37612,,408,0.012,2606,,
1931,clean new balls,16,492,28.4,2472,96128,86614,11891,4.81,24046,17399,0.542,4508,0.140,1070,0.033,1069,0.033,11048,1088,452,7679,0.239,7894,0.278,0.339,0.391,0.731,33901,,381,0.012,1437,,
1932,clean new balls,16,491,28.5,2466,96599,87182,12115,4.91,24106,17097,0.534,4579,0.143,1072,0.033,1358,0.042,11287,990,410,7549,0.236,7878,0.277,0.337,0.4,0.737,34903,,367,0.011,1479,,
1933,clean new balls,16,460,28.6,2452,94647,85222,10989,4.48,22969,16990,0.554,3945,0.129,967,0.032,1067,0.035,10213,860,376,7344,0.239,7444,0.27,0.33,0.376,0.706,32049,,351,0.011,1698,,
1934,clean new balls,16,487,28.5,2446,95572,85911,12001,4.91,23962,17422,0.542,4314,0.134,882,0.027,1344,0.042,11219,909,315,7855,0.244,8432,0.279,0.342,0.397,0.738,34072,,342,0.011,1455,,
